Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
382,2022,3,2,12,128875,16,128875,55,100,48,1
383,2022,3,2,12,93700,16,93700,55,100,48,1
384,2022,1,2,31,6000000,10,79039,27,50,25,0
385,2022,3,2,17,132320,16,132320,55,100,48,1
386,2022,0,2,38,28500,8,37300,20,100,18,0
387,2022,3,2,12,164000,16,164000,55,0,48,1
388,2022,3,2,17,155000,16,155000,55,100,48,1
389,2022,2,2,38,95000,8,124333,20,0,18,1
390,2022,2,2,38,75000,8,98158,20,0,18,1
391,2022,2,2,1,120000,16,120000,55,0,48,1
392,2022,3,2,12,112900,16,112900,55,100,48,1
393,2022,3,2,12,90320,16,90320,55,100,48,1
394,2022,3,2,15,145000,16,145000,55,100,48,1
395,2022,3,2,15,105400,16,105400,55,100,48,1
396,2022,2,2,38,80000,7,87932,19,100,12,1
397,2022,2,2,17,90000,8,117789,20,0,18,1
398,2022,3,2,22,215300,16,215300,55,100,48,0
399,2022,3,2,22,158200,16,158200,55,100,48,0
400,2022,3,2,17,209100,16,209100,55,100,48,0
401,2022,3,2,17,154600,16,154600,55,100,48,0
402,2022,3,2,12,115934,16,115934,55,0,48,1
403,2022,3,2,12,81666,16,81666,55,0,48,1
404,2022,3,2,17,175000,16,175000,55,100,48,1
405,2022,2,2,17,75000,8,98158,20,0,18,1
406,2022,2,2,12,58000,16,58000,55,0,48,2
407,2022,3,2,17,183600,16,183600,55,100,48,0
408,2022,2,2,12,40000,8,52351,20,100,18,1
409,2022,3,2,22,180000,16,180000,55,100,48,1
410,2022,2,2,22,55000,8,71982,20,0,18,1
411,2022,2,2,22,35000,8,45807,20,0,18,1
412,2022,2,2,17,60000,7,65949,21,100,19,1
413,2022,2,2,17,45000,7,49461,21,100,19,1
414,2022,2,2,17,60000,8,78526,20,100,18,1
415,2022,2,2,17,45000,8,58894,20,100,18,1
416,2022,3,2,22,260000,16,260000,55,100,48,1
417,2022,3,2,20,60000,16,60000,1,100,34,0
418,2022,2,2,17,63900,16,63900,55,0,48,1
419,2022,2,2,41,160000,16,160000,55,100,48,0
420,2022,2,2,41,112300,16,112300,55,100,48,0
421,2022,2,2,21,241000,16,241000,55,100,48,1
422,2022,2,2,21,159000,16,159000,55,100,48,1
423,2022,3,2,22,180000,16,180000,55,0,48,1
424,2022,3,2,22,80000,16,80000,55,0,48,1
425,2022,2,2,17,82900,16,82900,55,0,48,1
426,2022,3,2,17,100800,16,100800,55,100,48,0
427,2022,2,2,17,45000,7,49461,18,100,16,1
428,2022,3,2,22,140400,16,140400,55,0,48,0
429,2022,2,2,12,30000,8,39263,20,100,18,1
430,2022,2,2,12,40000,7,43966,18,100,16,1
431,2022,2,2,12,30000,7,32974,18,100,16,1
432,2022,2,2,17,80000,7,87932,18,100,16,1
433,2022,2,2,17,70000,7,76940,18,100,16,1
434,2022,2,2,17,80000,8,104702,20,100,18,1
435,2022,2,2,17,70000,8,91614,20,100,18,1
436,2022,2,2,17,60000,7,65949,18,100,16,1
437,2022,2,2,17,80000,7,87932,21,100,19,1
438,2022,3,2,38,189650,16,189650,55,0,48,1
439,2022,3,2,38,164996,16,164996,55,0,48,1
440,2022,2,2,12,40000,7,43966,21,100,19,1
441,2022,2,2,12,30000,7,32974,21,100,19,1
442,2022,2,2,17,75000,8,98158,20,100,18,1
443,2022,2,2,17,60000,8,78526,20,100,18,1
444,2022,3,2,22,215300,16,215300,55,0,48,0
445,2022,2,2,17,70000,7,76940,21,100,19,1
446,2022,3,2,17,209100,16,209100,55,100,48,0
447,2022,3,2,17,154600,16,154600,55,100,48,0
448,2022,3,2,17,180000,16,180000,55,100,48,1
449,2022,0,2,36,20000,7,21983,46,100,41,0
450,2022,3,2,17,80000,16,80000,55,100,48,1
451,2022,2,2,37,100000,2,78791,8,100,6,1
452,2022,1,2,25,250000,2,196979,8,50,6,0
453,2022,2,2,38,120000,16,120000,55,100,48,2
454,2022,0,2,10,125000,16,125000,55,0,48,1
455,2022,2,2,43,240000,5,37236,55,50,48,0
456,2022,3,2,17,105000,16,105000,55,100,48,1
457,2022,3,2,35,80000,7,87932,14,0,12,1
458,2022,2,2,8,1400000,10,18442,27,100,25,1
459,2022,2,2,22,2400000,10,31615,27,100,25,0
460,2022,2,2,39,53000,7,58255,46,50,41,0
461,2022,0,2,28,100000,16,100000,55,50,48,0
462,2022,2,3,17,50000,7,54957,14,50,12,0
463,2022,0,2,22,1400000,10,18442,27,100,25,1
464,2022,3,2,46,148000,7,162674,14,100,12,1
465,2022,0,2,17,120000,16,120000,55,100,48,1
466,2022,3,2,48,144000,16,144000,55,50,48,0
467,2022,3,2,22,104890,16,104890,55,100,48,1
468,2022,3,2,17,100000,16,100000,55,100,48,1
469,2022,3,2,22,140000,16,140000,55,100,48,1
470,2022,2,2,12,135000,16,135000,55,100,48,1
471,2022,2,2,12,50000,16,50000,55,100,48,1
472,2022,3,2,22,220000,16,220000,55,100,48,1
473,2022,3,2,22,140000,16,140000,55,100,48,1
474,2022,2,2,22,140000,8,183228,20,0,18,1
475,2022,2,2,22,70000,8,91614,20,0,18,1
476,2022,3,2,22,185100,16,185100,55,100,48,1
477,2022,3,2,38,220000,16,220000,55,100,48,1
478,2022,2,2,22,200000,16,200000,55,100,48,1
479,2022,2,2,22,120000,16,120000,55,100,48,1
480,2022,3,2,38,120000,16,120000,0,100,0,2
481,2022,3,2,38,65000,16,65000,0,100,0,2
482,2022,1,2,17,324000,16,324000,55,100,48,1
483,2022,1,2,17,216000,16,216000,55,100,48,1
484,2022,3,2,17,210000,16,210000,55,100,48,1
485,2022,3,2,38,120000,16,120000,55,100,48,1
486,2022,3,2,22,230000,16,230000,55,100,48,1
487,2022,0,3,22,100000,16,100000,16,50,14,1
488,2022,2,1,22,100000,16,100000,8,100,48,1
489,2022,0,0,4,29000,7,31875,52,100,11,1
490,2022,3,2,29,200000,16,200000,38,100,48,1
491,2022,2,2,44,75000,16,75000,8,100,6,2
492,2022,2,2,22,150000,13,35590,44,100,40,0
493,2022,3,2,37,100000,2,78791,8,100,6,1
494,2022,3,2,22,100000,16,100000,7,100,48,1
495,2022,2,2,41,153000,16,153000,55,50,48,1
496,2022,0,2,17,52800,7,58035,43,100,12,1
497,2022,3,2,22,165000,16,165000,55,100,48,1
498,2022,3,2,48,85000,7,93427,19,50,17,0
499,2022,0,2,22,66500,2,52396,8,100,6,0
500,2022,3,2,38,57000,7,62651,40,100,37,0
501,2022,2,2,29,30000,7,32974,17,100,15,2
502,2022,0,2,22,40000,16,40000,32,100,35,0
503,2022,2,2,38,121000,0,87425,3,100,3,0
