Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
309,2022,1,2,17,242000,16,55,100,48,1
193,2021,3,2,21,174000,16,55,100,48,0
152,2021,2,2,22,95000,2,8,100,6,0
438,2022,3,2,38,189650,16,55,0,48,1
340,2022,3,2,17,128875,16,55,100,48,1
531,2022,2,2,12,75000,16,8,0,6,1
336,2022,2,2,12,167000,16,55,100,48,1
103,2021,2,2,12,62000,16,55,0,48,0
396,2022,2,2,38,80000,7,19,100,12,1
74,2021,1,2,29,235000,16,55,100,48,0
428,2022,3,2,22,140400,16,55,0,48,0
584,2022,3,2,12,105000,16,55,100,48,1
119,2021,2,2,17,200000,16,55,100,48,0
480,2022,3,2,38,120000,16,0,100,0,2
415,2022,2,2,17,45000,8,20,100,18,1
488,2022,2,1,22,100000,16,8,100,48,1
207,2021,3,2,17,165000,16,55,0,48,1
349,2022,3,2,12,135000,16,55,100,48,1
356,2022,3,2,22,150000,16,55,0,48,1
344,2022,1,2,2,175000,16,55,100,48,1
423,2022,3,2,22,180000,16,55,0,48,1
8,2020,2,2,8,135000,16,55,100,48,0
382,2022,3,2,12,128875,16,55,100,48,1
36,2020,2,2,19,103000,16,55,100,48,0
139,2021,0,2,22,80000,16,55,100,48,1
253,2021,0,2,22,2100000,10,27,100,25,1
303,2022,3,2,22,123000,16,55,100,48,1
395,2022,3,2,15,105400,16,55,100,48,1
59,2020,2,2,22,138350,16,55,100,48,1
111,2021,3,2,24,82500,8,20,100,18,1
367,2022,2,2,12,58000,16,55,0,48,2
